Topic,Description,Detail URL,Research Area,Opportunity Timing,Deadline Date,Sponsoring Institution,Location,Duration,Compensation,Citizenship Requirement
Center for Cellular and Biomolecular Machines Summer Internship,"This 9-week program provides students who are interested in biophysics, biochemistry & bioengineering the opportunity to obtain research, academic guidance, and mentoring from CCBM faculty & graduate students, as well as access lectures, trainings, bootcamps, and workshops to become a part of the UC Merced Summer Undergraduate Research Institute (SURI) cohort.",https://researchops.web.illinois.edu/opportunity/center-cellular-and-biomolecular-machines-summer-internship,"Natural Sciences, Science & Technology",Summer,Anticipated 2/26/25,"University of California, Merced","Merced, CA",9 weeks,"$5,500","US Citizen, National, or Permanent Resident required"
University of Rochester Medical Center Summer Scholars Program,"Designed for underrepresented students pursuing PhD degrees in Biological or Biomedical Sciences, this intensive program offers mentorship, research opportunities, and covers a diverse range of scientific topics",https://researchops.web.illinois.edu/opportunity/university-rochester-medical-center-summer-scholars-program,Medicine & Health,Summer,2/28/25,University of Rochester,"Rochester, NY",10 weeks,,"US Citizen, National, or Permanent Resident required"
UT-ORII SMaRT Internships Program (SMaRT),"SMaRT interns have the unique opportunity to work daily with researchers from ORNL and UT for 10 weeks over the summer. Interns receive a stipend, housing and an allowance for travel to and from Knoxville, Tennessee.",https://researchops.web.illinois.edu/opportunity/ut-orii-smart-internships-program-smart,Science & Technology,Summer,Anticipated 2/28/25,University of Tennessee-Oak Ridge,"Oak Ridge, TN",10 weeks,"$6,940","US Citizen, National, or Permanent Resident required"
Digital Agriculture Research Experience for Undergraduates (CDA REU),"The CDA REU program provides valuable hands-on training alongside experts, access to professional development and entrepreneurship workshops, participation in AI Foundry short course and Hackathon, and a final research presentation at an annual conference.",https://researchops.web.illinois.edu/opportunity/digital-agriculture-research-experience-undergraduates-cda-reu,"Agriculture & Food Sciences, Natural Sciences, Science & Technology",Summer,Anticipated 3/1/25,University of Illinois at Urbana-Champaign,"Champaign, IL",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Nebraska Summer Research Program,"The  is an intensive summer opportunity that provides students with mentoring and research experiences and a preview of graduate school life. Research topics range from Applied Plant Systems, Biomedical Engineering, Minority Health Disparities, Sustainability of Civil Infrastructure, Virology, and more. Students will also attend workshops for GRE prep, writing personal statements, and creating research posters.",https://researchops.web.illinois.edu/opportunity/nebraska-summer-research-program,"Agriculture & Food Sciences, Medicine & Health, Natural Sciences, Science & Technology",Summer,3/1/25,University of Nebraska-Lincoln,"Lincoln, NE",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
"REU Site: Algebra, Combinatorics, and Statistics","In this eight-week REU, students will work in teams under faculty mentorship on diverse mathematical research projects. Participants will develop skills in literature review, software usage, oral presentations, and writing research papers, ultimately enhancing their understanding of mathematical research and community.",https://researchops.web.illinois.edu/opportunity/reu-site-algebra-combinatorics-and-statistics,"Natural Sciences, Science & Technology",Summer,2/28/25,Texas State University - San Marcos,"San Marcos, TX",8 weeks,"$5,200","US Citizen, National, or Permanent Resident required"
Community-Engaged Training for Advancing Health Equity,This REU provides students with the opportunity to study health disparities with a focus on understanding social context. Students will be trained in relevant social analysis techniques and use this training to develop hypotheses & learn how to design and conduct health disparities-related research.,https://researchops.web.illinois.edu/opportunity/community-engaged-training-advancing-health-equity,"Medicine & Health, Social Sciences & Behavior",Summer,Anticipated 3/1/25,University of Nebraska-Lincoln,"Lincoln, NE",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Biosphere 2 (B2 REU),"The Biosphere 2 Research Experience for Undergraduates (REU) at the University of Arizona offers a unique opportunity to conduct guided research in environmental and Earth systems science, including topics in climate change, water scarcity, and sustainability.",https://researchops.web.illinois.edu/opportunity/biosphere-2-b2-reu,Natural Sciences,Summer,3/1/25,University of Arizona,"Oracle, AZ",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Undergraduate Summer Research Experience in Virology (USREV),"This program is designed for students whose primary interest is exploring a career in Biomedical research, Biology, Biochemistry, Microbiology, and Molecular Biology. Students will be trained in biomedical research, design and implement a tailor-made research project, and present findings at a research symposium.",https://researchops.web.illinois.edu/opportunity/undergraduate-summer-research-experience-virology-usrev,"Medicine & Health, Natural Sciences, Science & Technology",Summer,3/1/25,University of Nebraska-Lincoln,"Lincoln, NE",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Mathematical Sciences Research Institute Undergraduate Program (MSRI-UP),"The MSRI-UP is a summer research initiative designed to engage undergraduate students, particularly those from underrepresented groups, in meaningful mathematical research. The summer program, themed “Quantitative Justice,” will focus on using mathematical and computational techniques to address social justice issues, offering participants research experience, mentorship, skill-building workshops, and opportunities to present their findings.",https://researchops.web.illinois.edu/opportunity/mathematical-sciences-research-institute-undergraduate-program-msri,Science & Technology,Summer,3/1/25,Simons Laufer Mathematical Sciences Institute,"Berkeley, CA",6 weeks,"$3,600","US Citizen, National, or Permanent Resident required"
Sevilleta Research Experience for Undergraduates,"This interdisciplinary program is seeking art students to observe and interpret the ecology, research, and landscape of the Sevilleta National Wildlife Refuge through the creation of artistic works (e.g., photography, painting, sculpture, videos).",https://researchops.web.illinois.edu/opportunity/sevilleta-research-experience-undergraduates,"Humanities & Arts, Natural Sciences",Summer,Anticipated 3/1/25,University of New Mexico Sevilleta Field Station,"La Joya, NM",10 weeks,"$6,500","US Citizen, National, or Permanent Resident required"
Hub and Spoke SM²ART with Oak Ridge National Lab,The Hub & Spoke Program is a collaborative initiative between the Manufacturing Demonstration Facility (MDF) at Oak Ridge National Laboratory (ORNL) and the Advanced Structures and Composites Center (ASCC) at the University of Maine.,https://researchops.web.illinois.edu/opportunity/hub-and-spoke-sm2art-oak-ridge-national-lab,Science & Technology,Summer,3/1/25,University of Maine,"Orono, ME",10 weeks,"$6,500","US Citizen, National, or Permanent Resident required"
Bruins In Genomics (B.I.G.) Summer Research Program,"B.I.G. Summer Research Program is an 8-week full-time immersion program for undergraduates interested in learning how to read and analyze genes and genomes. Through this program students will have the opportunity to experience graduate-level coursework, and learn the latest cutting-edge research, tools and methods used by leading scientists to solve real-world problems.",https://researchops.web.illinois.edu/opportunity/bruins-genomics-big-summer-research-program,"Medicine & Health, Natural Sciences",Summer,3/1/25,"University of California, Los Angeles","Los Angeles, CA",8 weeks,"$4,800","US Citizen, National, or Permanent Resident required"
Biomedical Summer Research Program,"This program is a summer research experience designed to immerse undergraduates in hands-on biomedical research alongside mentors, postdocs, and peers. Participants receive a stipend, along with travel, housing, and transportation, and will present a professional research poster at the program's conclusion.",https://researchops.web.illinois.edu/opportunity/biomedical-summer-research-program,Medicine & Health,Summer,3/3/25,University of Massachusetts,"Worcester, MA",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Students Pushing INnovation (SPIN) Internship Program @ The National Center for Supercomputing Applications,"The National Center for Supercomputing Applications (NCSA) has a history of nurturing innovative concepts, and some of the best ideas have come from highly motivated, creative undergraduate students. The Students Pushing INnovation (SPIN) internship program was launched to provide University of Illinois undergraduates with the opportunity to participate in hands-on research and contribute to interdisciplinary projects covering focused research areas in Culture and Society, Earth and Environment, Bioinformatics and Health Sciences, Material and Manufacturing, Data and Computational Sciences, Physics and Astronomy, and Digital Agriculture.",https://researchops.web.illinois.edu/opportunity/students-pushing-innovation-spin-internship-program-national-center-supercomputing,"Agriculture & Food Sciences, Business & Economics, Data Science, Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 3/3/25,University of Illinois at Urbana-Champaign,"Champaign, IL",8 weeks,"$2,400",No Citizenship Requirements
Agricultural Data Science REU,"New transdisciplinary crop phenomics research offers a 9-week immersive experience for undergrads, emphasizing skills, collaboration, and educational opportunities through boot camps, workshops, and more.",https://researchops.web.illinois.edu/opportunity/agricultural-data-science-reu,"Agriculture & Food Sciences, Data Science, Natural Sciences, Science & Technology",Summer,3/5/25,Washington State University,"Pullman, WA",9 weeks,"$4,500","US Citizen, National, or Permanent Resident required"
High Performance Computing in the Physical Sciences REU,"This REU program immerses underrepresented undergraduate students in interdisciplinary High Performance and Computing Research across the physical sciences. It offers students mentorship, hands-on projects, and professional development to prepare them for advanced STEM careers.",https://researchops.web.illinois.edu/opportunity/high-performance-computing-physical-sciences-reu,"Data Science, Natural Sciences, Science & Technology",Summer,3/7/25,Temple University,"Philadelphia, PA",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Blackwell Summer Scholars Program,"The David H.  offers research experiences in the areas of statistics, data science, and mathematics. Participants will present at the end of the summer and will be prepared for success in future graduate programs.",https://researchops.web.illinois.edu/opportunity/blackwell-summer-scholars-program,Science & Technology,Summer,Anticipated 3/10/25,University of Illinois at Urbana-Champaign,"Champaign, IL",8 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
Improving Crop Resiliency: Agriculture in Changing Climate REU,"This 10-week program offers undergraduates research opportunities in plant biology and soil science, including field trips, outreach components, and a final symposium.",https://researchops.web.illinois.edu/opportunity/improving-crop-resiliency-agriculture-changing-climate-reu,"Agriculture & Food Sciences, Natural Sciences",Summer,3/10/25,Washington State University,"Pullman, WA",10 weeks,"$4,700 + housing stipend of $1,800","US Citizen, National, or Permanent Resident required"
Marine Science Research & Biological Discovery in Woods Hole (BDWH),"Biological Discovery in Woods Hole (BDWH) – BDWH is a 10-week research experience for undergraduates at the Marine Biological Laboratory in Woods Hole, Massachusetts. Along with conducting marine research, students will participate in field trips and attend weekly course meetings, seminars and/or luncheons that will explore a wide range of in biological science topics.",https://researchops.web.illinois.edu/opportunity/marine-science-research-biological-discovery-woods-hole-bdwh,Natural Sciences,Summer,Anticipated 3/10/25,University of Chicago,"Woods Hole, MA",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
American Studies Journalism and Communications Internship Program,"TFAS offers students the opportunity to spend 8 weeks earning 3-9 credits from George Mason University, complete an internship placement in their field of interest, and live in furnished housing provided through Washington Intern Student Housing.",https://researchops.web.illinois.edu/opportunity/american-studies-journalism-and-communications-internship-program,Social Sciences & Behavior,Summer,Anticipated 3/12/25,The Fund for American Studies (TFAS),"Washington, DC",8 weeks,Paid Program,No Citizenship Requirements
Research Experience in Consumer Networking Technologies,"Students will investigate some important issues related to software-defined networking/virtualization, visual computing at the network edge, social virtual reality, mobile sensing & environment recognition.",https://researchops.web.illinois.edu/opportunity/research-experience-consumer-networking-technologies,Science & Technology,Summer,3/15/25,University of Missouri,"Columbia, MO",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Photonics Undergraduate Research Summer Experience (PURSuE),An REU program for students who are interested in pursuing doctoral research related to photonics. The program is run with several other REU programs and includes mentoring and professional development as well as laboratory research.,https://researchops.web.illinois.edu/opportunity/photonics-undergraduate-research-summer-experience-pursue,"Medicine & Health, Science & Technology",Summer,Anticipated 3/15/25,Boston University,"Boston, MA",10 Weeks,"$7,000","US Citizen, National, or Permanent Resident required"
American Student Placements in Rehabilitation Engineering (ASPIRE) Program,"The Human Engineering Research Laboratories offer a summer research program focused on rehabilitation engineering and assistive technology, where participants engage in research, develop presentations, and compete in professional development activities, culminating in a symposium recognizing outstanding work.",https://researchops.web.illinois.edu/opportunity/american-student-placements-rehabilitation-engineering-aspire-program,"Medicine & Health, Science & Technology",Summer,Anticipated 3/15/25,University of Pittsburgh,"Pittsburgh, PA",10 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
The Future of Discovery: Training Students to Build and Apply Open Source Machine Learning Models and Tools (FODOMMaT) REU Program,FoDOMMaT (The Future of Discovery: Training Students to Build and Apply Open Source Machine Learning Models and Tools) is a 10-week training experience in machine learning at the University of Illinois at Urbana-Champaign’s National Center for Supercomputing Applications (NCSA) in which students will work on developing open source machine learning models and tools and applying them to solving real world problems.,https://researchops.web.illinois.edu/opportunity/future-discovery-training-students-build-and-apply-open-source-machine-learning-models,Science & Technology,Summer,Anticipated 3/17/25,University of Illinois at Urbana-Champaign,"Champaign, IL",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Integrated Nanomanufacturing REU (INM),"The INM REU offers students hands-on research experience in integrated nanomanufacturing, allowing them to work on projects in faculty or startup labs, receive specialized training on advanced equipment, and participate in professional development activities.",https://researchops.web.illinois.edu/opportunity/integrated-nanomanufacturing-reu-inm,"Medicine & Health, Science & Technology",Summer,3/15/25,Boston University,"Boston, MA",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Internships at Illinois Holocaust Museum & Education Center,"Interns will work with the exhibition, preservation, and interpretation of Museum collections, assist with educational programs and fundraisers, and take part in marketing and day-to-day operations. This opportunity covers disciplines from Marketing, Business, Communications, and Education to Computer Science/Engineering.",https://researchops.web.illinois.edu/opportunity/internships-illinois-holocaust-museum-education-center,"Humanities & Arts, Social Sciences & Behavior","Fall, Spring, Summer, Winter",4/1/25,Illinois Holocaust Museum & Education Center,"Skokie, IL",8 weeks,"$2,000",No Citizenship Requirements
REU on Sustainable Land and Water Resources,"Students gain interdisciplinary research experience focused on community-based participatory research to improve management practices for land and water resources. Participants collaborate with tribal resource managers on projects hosted at Native American reservations or the University of Minnesota, emphasizing quantitative methods, indigenous research approaches, and inclusion of diverse backgrounds.",https://researchops.web.illinois.edu/opportunity/reu-sustainable-land-and-water-resources,"Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,3/30/25,University of Minnesota,Varies,10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Discovery Hall Environmental Education Internship in Marine Science (DHP),"DHP offers a 10 week summer internship position for an undergraduate (sophomore, junior, senior) currently under-represented in marine science and environmental education. Interns will assist DHP education staff with all aspects of logistics, preparation, and teaching within summer programs for K-12, to high school students studying marine science, and to the public. Interns will gain hands-on experience in the field of environmental education and learn about the Gulf of Mexico ecosystems.",https://researchops.web.illinois.edu/opportunity/discovery-hall-environmental-education-internship-marine-science-dhp,Natural Sciences,Summer,Anticipated 3/18/25,Dauphin Island Sea Lab,"Dauphin Island, AL",10 weeks,"$4,000",No Citizenship Requirements
African American Family (AAFam) Stress and Resiliency Lab,"The African American Family Stress and Resiliency Lab is looking for undergraduate research assistants interested in understanding the connections between race-related stress, mental health, and social support within African American families. Students will have the opportunity to gain experience with multiple research-related activities including, but not limited to, literature reviews, participant recruitment, data management, data analysis, and writing.",https://researchops.web.illinois.edu/opportunity/african-american-family-aafam-stress-and-resiliency-lab,"Medicine & Health, Social Sciences & Behavior",Summer,Anticipated 4/1/25,University of Illinois at Urbana-Champaign,"Champaign, IL",,Course Credit,No Citizenship Requirements
Statistical Models with Applications to Geoscience (SMAG) REU,"Join this dynamic 8-week statistical models in geoscience program to enhance skills, foster diversity, and prepare for statistical careers with workshops and seminars!",https://researchops.web.illinois.edu/opportunity/statistical-models-applications-geoscience-smag-reu,Science & Technology,Summer,Anticipated 3/30/25,Florida Institute of Technology,"Melbourne, FL",8 weeks,"$5,700","US Citizen, National, or Permanent Resident required"
Research Internships in Science and Engineering,"Students are matched with a host university or institute according to their area of interest (biology, chemistry, physics, earth sciences, engineering, or a closely related field). Host universities, universities of applied sciences, and institutes provide housing assistance and match students with Ph.D. student mentors or researchers.",https://researchops.web.illinois.edu/opportunity/research-internships-science-and-engineering,"Medicine & Health, Natural Sciences, Science & Technology",Summer,Anticipated 11/30/25,German Academic Exchange Service,Germany,12 weeks,,No Citizenship Requirements
Naval Research Enterprise Intern Program (NREIP),"NREIP offers 10-week summer internships for STEM students, providing top-notch mentoring, and hands-on Navy lab experience.",https://researchops.web.illinois.edu/opportunity/naval-research-enterprise-intern-program-nreip,"Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 11/1/25,Office of Naval Research,Various,10 weeks,"$7,500","US Citizen, National, or Permanent Resident required"
Advancing Army Modernization Priorities – Undergraduate Program,"This summer research program provides an immersive, experiential environment for undergraduates to collaborate with energetic materials experts on projects that range in focus from synthesis to machine learning to additive manufacturing.",https://researchops.web.illinois.edu/opportunity/advancing-army-modernization-priorities-undergraduate-program,"Natural Sciences, Science & Technology",Summer,4/15/25,Purdue University,"West Lafayette, IN",10 weeks,,"US Citizen, National, or Permanent Resident required"
Junior Fellows Summer Intern Program,"Through this summer internship, fellows are exposed to a broad spectrum of library work: copyright, preservation, reference, access, and information technology.  Working under the direction of Library curators and specialists in various divisions, fellows explore digital initiatives and increase access to the institution’s unparalleled collections and resources.",https://researchops.web.illinois.edu/opportunity/junior-fellows-summer-intern-program,Humanities & Arts,Summer,Anticipated 11/26/25,Library of Congress,"Washington, DC",10 weeks,$15.60 - $16.41 per hour,"US Citizen, National, or Permanent Resident required"
Bioprocessing Summer Undergraduate Internship Training and Education (BSUITE),"BSUITE offers a 6-week intensive internship in bioprocessing and bioengineering research at the Keck Graduate Institute in Claremont, CA. Students will be introduced to career options within biomanufacturing and learn about technical/regulatory considerations for the production of biopharmaceuticals, such as cell line engineering, cell growth, product purification, viral controls, and quality systems.",https://researchops.web.illinois.edu/opportunity/bioprocessing-summer-undergraduate-internship-training-and-education-bsuite,"Medicine & Health, Natural Sciences, Science & Technology",Summer,5/15/25,Keck Graduate Insititute,"Claremount, CA",6 weeks,"$1,500",No Citizenship Requirements
Congressional Hispanic Caucus Insititute (CHCI),"CIP provides Latino undergraduates of all majors with paid placement in congressional offices for a period of 10 weeks. Interns will learn how the legislative system works, respond to constituent inquiries, write policy briefs, gain work experience, and participate in community service.",https://researchops.web.illinois.edu/opportunity/congressional-hispanic-caucus-insititute-chci,Social Sciences & Behavior,"Fall, Summer",Anticipated 12/1/25,Congressional Hispanic Caucus Institute,"Washington, DC",10 weeks,"$3,125","US Citizen, National, or Permanent Resident required"
Northwestern University Minority Health and Health Disparities Research Training Program (NU-MHRT),The T37  provides health disparities research training experiences to minority and other underrepresented students and trainees at the undergraduate through postdoctoral levels in order to prepare and enhance the next generation of health sciences researchers committed to improving minority health and reducing health disparities.,https://researchops.web.illinois.edu/opportunity/northwestern-university-minority-health-and-health-disparities-research-training,Medicine & Health,Summer,Rolling,Northwestern University,"Evanston, IL",12 weeks,"$3,400","US Citizen, National, or Permanent Resident required"
Molecular Biology and Genetics of Cell Signaling REU,"The Summer Research Experience for Undergraduates (REU) Program (MBG-REU), titled “Molecular Biology and Genetics of Cell Signaling”, aims to provide cutting edge summer research training experiences in the broadly defined area of cell signaling.",https://researchops.web.illinois.edu/opportunity/molecular-biology-and-genetics-cell-signaling-reu,Medicine & Health,Summer,Anticipated 1/31/26,Cornell University,"Ithaca, NY",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Illinois Computer Science Summer Research Program (SRP),"In the , students work with Illinois faculty mentors and graduate students over the summer to get an introduction to computer science research. This is an outstanding opportunity for aspiring scientists and faculty to learn from leading experts in computer science.",https://researchops.web.illinois.edu/opportunity/illinois-computer-science-summer-research-program-srp,Science & Technology,Spring,Rolling,University of Illinois at Urbana-Champaign,"Urbana, IL",10 weeks,,No Citizenship Requirements
MEMOs Internship Scheme,"The  is a digital placement aimed at undergraduate students of relevant disciplines (English, History, etc). The scheme is designed to offer insight and experience in a major digital humanities project and provide academic guidance and mentorship for students interested in specialising in medieval and/or early modern studies. Placements are run four times a year in spring, summer, autumn and winter. Each placement runs for a period of eight weeks with an expected time commitment of six hours a week.",https://researchops.web.illinois.edu/opportunity/memos-internship-scheme,Humanities & Arts,"Fall, Spring, Summer, Winter",Rolling,Medieval and Early Modern Orients,Remote,8 weeks,,No Citizenship Requirements
